date,M421,M422,M142,M420,M428,M419,M040
01/01/1985,21.91228,23.55796,19.9382,19.91924,18.81094,20.67378,30.13177
02/01/1985,23.24107,24.65266,19.34817,20.50766,18.9234,20.76751,29.54854
03/01/1985,25.60272,27.28271,18.97949,23.18041,21.76565,23.36557,31.83327
04/01/1985,24.8574,26.90302,18.33476,23.19361,21.8548,23.69754,31.54613
05/01/1985,18.3875,20.05283,16.81424,17.94315,15.5245,18.19935,27.31626
06/01/1985,18.97354,20.52293,16.19162,17.9738,16.47443,18.96754,28.41625
07/01/1985,21.00286,22.28443,15.77294,19.96976,17.9916,20.34839,31.25867
08/01/1985,20.68465,22.20256,14.95628,19.07252,17.76128,19.94971,29.6119
09/01/1985,21.87829,23.71167,18.49009,20.05549,19.08695,20.41257,31.08885
10/01/1985,23.83007,24.84923,16.69408,21.81635,19.56961,21.52348,29.79687
11/01/1985,22.75361,24.29402,17.16594,21.14006,19.34093,21.44841,30.72874
12/01/1985,21.02969,22.30468,16.27465,19.96509,17.38041,20.00411,29.88153
13/01/1985,17.10889,18.84017,13.50363,16.79176,14.57062,17.10956,27.21641
14/01/1985,18.69797,19.59855,13.68419,17.49941,15.12034,16.79941,29.5379
15/01/1985,20.71175,22.81045,13.74494,19.91256,18.33959,20.16496,30.41467
16/01/1985,21.43298,22.16476,14.56323,19.871,17.29556,19.30277,29.96201
17/01/1985,22.80705,23.95083,15.7025,20.82055,18.38523,20.66931,29.37486
18/01/1985,21.77784,23.6503,17.57397,20.70127,18.56562,21.16275,29.98735
19/01/1985,19.61652,21.19352,19.21736,18.71063,16.97367,19.51387,29.18877
20/01/1985,20.42032,21.79486,18.7575,19.19282,16.82767,18.76263,30.09259
21/01/1985,18.83437,19.71808,19.58997,17.43357,15.73143,16.84469,29.92081
22/01/1985,20.31274,21.25692,17.78152,18.71154,16.38653,18.13738,29.24012
23/01/1985,18.98057,19.93443,17.58118,17.79563,15.32714,17.83202,28.35026
24/01/1985,20.32007,21.3417,18.08961,19.12923,16.5808,18.68425,29.21682
25/01/1985,19.10694,20.01765,18.57089,18.52735,15.56194,18.29906,28.70852
26/01/1985,21.08919,22.37409,16.2421,20.42818,18.18356,19.79707,31.79789
27/01/1985,19.44057,20.60887,16.3948,18.28976,16.0955,17.60186,29.18619
28/01/1985,22.33894,22.65668,17.6039,21.21125,17.79536,19.47952,30.33079
29/01/1985,20.12317,21.22065,17.67384,18.87019,16.5547,17.76326,29.45909
30/01/1985,21.57449,22.88929,16.2273,20.75833,18.51054,20.31879,30.95096
31/01/1985,19.79188,21.97199,19.09156,18.56131,17.38727,19.84334,29.16618
01/02/1985,19.03297,19.57324,13.56241,18.20164,14.83233,17.25748,29.06205
02/02/1985,20.23112,21.17557,19.02385,19.45864,16.50136,18.97453,30.88332
03/02/1985,20.92189,22.00181,18.73186,20.5131,16.7605,19.97394,29.65175
04/02/1985,22.2229,23.04973,18.89017,20.92879,17.88523,20.24448,30.10178
05/02/1985,21.56939,22.78298,12.83673,19.88265,17.65287,19.45404,29.51158
06/02/1985,19.84901,22.31698,12.54373,18.10841,17.48128,19.18615,29.53835
07/02/1985,20.23703,22.66424,12.76027,18.15185,18.37442,19.69941,30.36098
08/02/1985,19.38002,21.782,13.4996,18.07482,17.38315,19.11857,30.76941
09/02/1985,20.74978,22.45934,17.23926,19.64961,18.34299,19.88976,30.77895
10/02/1985,19.89568,21.69356,18.06447,18.38686,16.56599,18.66904,29.50121
11/02/1985,20.77364,22.84333,14.5145,19.18228,18.21876,19.87622,30.24276
12/02/1985,21.23566,23.3866,14.20066,19.28716,18.73122,20.3383,31.00016
13/02/1985,22.24101,23.84654,16.64577,20.84653,18.85051,20.90415,31.15129
