date,M421,M422,M142,M420,M428,M419,M040
01/01/1985,12.35515,14.14064,3.669471,11.12276,10.69544,12.10121,24.9315
02/01/1985,12.97335,14.94255,2.459519,10.9675,11.16037,11.85758,24.77516
03/01/1985,11.9946,14.41968,2.539377,9.985406,10.88999,11.75256,25.66136
04/01/1985,12.49402,14.30972,3.055465,10.52399,11.0538,11.66343,25.67177
05/01/1985,13.37845,15.48589,1.631576,11.48999,11.76646,13.01175,25.77202
06/01/1985,12.78016,14.67479,1.557198,11.55072,10.8771,12.43033,25.5126
07/01/1985,14.13649,16.00534,1.068507,12.74562,12.12597,13.67294,26.12231
08/01/1985,13.81935,16.07818,1.554914,11.98191,12.2735,13.55005,26.21599
09/01/1985,13.38041,15.68522,6.458597,11.48216,11.97911,13.14634,25.44725
10/01/1985,13.29402,15.08536,1.352816,11.54265,11.20222,12.45448,25.68839
11/01/1985,13.81146,15.60647,1.205324,11.88387,11.74282,12.91136,25.62457
12/01/1985,12.9072,14.97871,1.861382,11.30426,11.30188,12.63749,25.23597
13/01/1985,12.4219,14.30119,1.688539,11.37864,10.4413,12.33253,25.09348
14/01/1985,13.01893,14.83,1.744768,11.78345,11.02476,12.68444,25.6813
15/01/1985,13.25227,15.2018,1.566889,11.95827,11.43668,12.80376,26.13963
16/01/1985,13.65603,15.5597,1.546704,12.29841,11.60936,13.13533,25.96227
17/01/1985,14.00382,15.9243,1.722756,12.33622,11.90412,13.2227,25.63376
18/01/1985,13.67724,15.49348,0.754028,12.19566,11.40529,13.05125,25.45256
19/01/1985,14.12658,15.96477,1.685263,13.08066,11.98604,13.68177,25.97394
20/01/1985,13.08287,15.01972,2.807419,11.98116,11.35792,12.87182,25.59456
21/01/1985,12.46952,14.52059,3.854527,11.15747,11.01713,12.21425,25.61097
22/01/1985,12.96606,14.75866,1.885462,11.73742,10.86218,12.31045,25.33142
23/01/1985,12.78509,14.51485,3.611448,11.75681,10.73863,12.3158,25.18207
24/01/1985,13.55907,15.58009,3.003496,12.06611,11.69794,13.16308,25.91438
25/01/1985,13.26327,15.09807,2.658932,11.95658,11.03036,12.68847,25.17056
26/01/1985,13.1933,15.25683,2.245988,12.02202,11.57012,13.15144,25.62924
27/01/1985,12.15435,14.15197,2.207197,10.61664,10.68662,11.64946,25.27486
28/01/1985,13.08544,15.16047,1.644291,12.07227,11.26538,12.93097,25.02134
29/01/1985,11.88238,13.59744,3.69315,10.56286,9.588585,11.26633,24.20541
30/01/1985,13.73021,15.45635,2.73831,12.2895,11.35442,12.96097,25.8015
31/01/1985,13.1564,15.05432,2.393865,11.84091,11.22106,12.68255,25.94279
01/02/1985,13.41221,14.91605,1.959234,13.1694,10.85385,12.97758,25.81756
02/02/1985,11.52448,13.2762,2.008677,11.09199,9.623203,11.37902,24.79192
03/02/1985,10.4623,12.12361,2.063501,9.733238,8.737187,10.26412,24.87603
04/02/1985,13.18834,14.73186,1.564186,12.38481,10.71928,12.34052,26.19945
05/02/1985,11.32932,13.0841,2.318224,10.35986,9.877854,10.8329,25.41512
06/02/1985,12.56842,14.32505,1.541303,11.27657,10.39922,11.63126,25.39135
07/02/1985,13.90836,15.62933,1.184085,12.91828,11.54196,13.06821,25.75114
08/02/1985,13.89663,15.52264,1.719022,13.05122,11.54892,13.03168,26.49797
09/02/1985,11.04393,12.95625,2.820356,10.71291,10.03645,11.29291,26.29596
10/02/1985,13.48099,15.07917,2.520758,12.8513,11.15425,12.89895,26.88732
11/02/1985,13.81521,15.40901,2.512281,12.83667,11.16351,12.85976,25.06277
12/02/1985,13.49783,15.25547,2.553876,12.51198,11.21219,12.8378,25.77296
