date,M032,M040,M142,M196,M419,M421,M422,M423,M428,M481,M666,M738,M420
01/01/1985,0.002602792,0.004353999,0.010971371,0.010923048,0.001102412,0.008380595,0.002602792,0.005232867,0.003425576,0.005658092,0.001102412,0.016220855,0.006987228
02/01/1985,0.005937035,0.011626114,0.057353567,0.00876585,0.007310821,0.007034026,0.005937035,0.012211471,0.003867319,0.007989527,0.007310821,0.010963711,0.01316175
03/01/1985,0.021526624,0.39211166,0.107921846,0.104821764,0.009155319,0.032842442,0.021526624,0.02053509,0.06245061,0.2537044,0.009155319,0.8930197,0.018395852
04/01/1985,0.06513815,7.9088416,0.25293386,0.29241166,0.09884588,0.07820284,0.06513815,0.06462459,0.18668261,4.627145,0.09884588,1.429137,0.06473016
05/01/1985,9.38353,8.415608,4.153502,9.167019,12.1882105,8.847004,9.38353,11.222238,7.5180917,11.198605,12.1882105,10.02434,11.035738
06/01/1985,0.34566736,1.1742,8.3747015,1.6044445,0.22240175,2.870306,0.34566736,1.1203159,0.26857007,2.1740277,0.22240175,3.2549489,1.0452099
07/01/1985,0.17556764,0.38351247,1.7415196,0.8207623,0.07180407,1.2743514,0.17556764,0.6602462,0.08986211,0.4330361,0.07180407,2.0895646,0.5481932
08/01/1985,0.56483597,0.5667119,2.3385923,1.5295112,0.35580066,2.2811654,0.56483597,1.3126435,0.55173767,0.7873056,0.35580066,2.0934057,1.9207566
09/01/1985,5.7337337,0.5043409,9.277054,4.0542173,7.5526533,4.8643527,5.7337337,5.1554556,3.9254253,1.8366846,7.5526533,2.3739383,4.6592684
10/01/1985,9.122302,0.21241279,0.6879273,5.280523,10.913649,8.120397,9.122302,12.82225,5.462169,1.2156456,10.913649,2.0258842,12.645671
11/01/1985,0.032374755,0.5220635,1.494966,0.22239414,0.088614285,0.34357497,0.032374755,0.17773604,0.043344114,0.97574127,0.088614285,1.9076396,0.31871116
